,DM2,No_DM2,difference
case_id,69.85714285714286,95.28971962616822,-25.43257676902536
mean,103.63095238095238,102.69880906022846,0.9321433207239238
std,14.90101675901075,14.59976462170525,0.30125213730550016
cv,14.45649615993121,14.15872412324268,0.2977720366885297
min_glucose,75.35714285714286,78.23364485981308,-2.8765020026702217
max_glucose,144.64285714285714,143.44392523364485,1.1989319092122912
range,69.28571428571429,65.21028037383178,4.075433911882513
mage,30.0,8.75,21.25
conga2,18.302941039833087,18.306083747110396,-0.0031427072773091425
gfi,1.2598307615729218,1.2990002930736917,-0.03916953150076985
tu100,42.21230158730158,49.853971962616825,-7.641670375315243
ao140,80.21428571428571,258.6214953271028,-178.4072096128171
time_above_140,2.8769841269841265,4.750778816199377,-1.8737946892152504
time_in_range,94.69246031746033,92.78296988577362,1.9094904316867058
sd1,1.2680977421022293,1.2927937970101853,-0.02469605490795601
sd2,20.994574079531112,20.557974040004392,0.43660003952672
sampen,-0.3983138937378767,-0.39964461753752684,0.0013307237996501575
dfa_alpha,1.637908907929288,1.6150268342270835,0.02288207370220441
long_gaps,0.0,0.0,0.0
gender,0.7142857142857143,0.4953271028037383,0.21895861148197598
age,57.42857142857143,58.925233644859816,-1.4966622162883851
BMI,31.77142857142857,29.455140186915894,2.3162883845126743
glycaemia,109.28571428571429,98.98130841121495,10.304405874499338
HbA1c,6.057142857142857,5.750485436893205,0.30665742024965237
follow_up,1123.7142857142858,1005.8217821782179,117.89250353606792
DM2,1.0,0.0,1.0
